Date,KOSPI,PortA,PortB
2015-10-11,2019.53,1092.08,1039.19
2015-10-12,2021.63,1095.1,1042.52
2015-10-13,2019.05,1095.51,1042.96
2015-10-14,2009.55,1095.66,1043.12
2015-10-15,2033.27,1101.4,1048.96
2015-10-16,2030.26,1104.33,1052.27
2015-10-17,2030.26,1104.29,1052.22
2015-10-18,2030.26,1105.08,1053.05
2015-10-19,2030.27,1102.47,1050.15
2015-10-20,2039.36,1103.76,1051.48
2015-10-21,2042.98,1105.91,1053.84
2015-10-22,2023,1101.93,1049.4
2015-10-23,2040.4,1100.97,1048.35
2015-10-24,2040.4,1102.78,1050.18
2015-10-25,2040.4,1104.26,1051.9
2015-10-26,2048.08,1104.51,1052.17
2015-10-27,2044.65,1108.29,1055.98
2015-10-28,2042.51,1106.47,1054.05
2015-10-29,2034.16,1107.76,1055.36
2015-10-30,2029.47,1107.95,1055.58
2015-10-31,2029.47,1111.49,1059.38
2015-11-01,2029.47,1111.86,1059.81
2015-11-02,2035.24,1110.22,1058.01
2015-11-03,2048.4,1111.93,1059.76
2015-11-04,2052.77,1114.89,1062.94
2015-11-05,2049.41,1116.17,1064.39
2015-11-06,2041.07,1115.31,1063.52
2015-11-07,2041.07,1114.04,1062.16
2015-11-08,2041.07,1111,1058.74
2015-11-09,2025.7,1113.93,1061.87
2015-11-10,1996.59,1113.94,1061.89
2015-11-11,1997.27,1119.33,1068.29
2015-11-12,1993.36,1119.74,1068.72
2015-11-13,1973.29,1118.95,1067.79
2015-11-14,1973.29,1116.93,1065.58
2015-11-15,1973.29,1113.51,1062.11
2015-11-16,1943.02,1111.77,1060.22
2015-11-17,1963.58,1110.67,1059.02
2015-11-18,1962.88,1107.23,1055.23
2015-11-19,1988.91,1110.68,1058.69
2015-11-20,1989.86,1107.96,1055.88
2015-11-21,1989.86,1112.81,1061.11
2015-11-22,1989.86,1113.79,1062.2
2015-11-23,2003.7,1113.12,1061.48
2015-11-24,2016.29,1109.78,1057.62
2015-11-25,2009.42,1111.56,1059.65
2015-11-26,2030.68,1111.26,1059.3
2015-11-27,2028.99,1107.99,1055.85
2015-11-28,2028.99,1103.55,1050.72
2015-11-29,2028.99,1104.34,1051.63
2015-11-30,1991.97,1098.47,1045.44
2015-12-01,2023.93,1099.97,1047.15
2015-12-02,2009.29,1101.98,1049.23
2015-12-03,1994.07,1100.75,1047.97
2015-12-04,1974.4,1103.4,1051.07
2015-12-05,1974.4,1099.07,1046.22
