Date,Open,High,Low,Close,Adj Close,Volume
2019-10-10,35.669998,36.009998,35.599998,35.790001,35.088985,11573700
2019-10-11,36.139999,36.580002,36.070000,36.110001,35.402718,17501000
2019-10-14,36.160000,36.349998,35.980000,36.299999,35.588993,8255200
2019-10-15,36.450001,36.740002,36.410000,36.500000,35.785080,14400600
2019-10-16,36.630001,36.750000,36.320000,36.340000,35.628212,13696200
2019-10-17,36.490002,36.810001,36.369999,36.459999,35.745861,14527600
2019-10-18,36.430000,36.700001,36.349998,36.459999,35.745861,13490700
2019-10-21,36.650002,36.680000,36.360001,36.459999,35.745861,12558900
2019-10-22,36.410000,36.700001,36.250000,36.430000,35.716450,13804000
2019-10-23,36.310001,36.779999,36.220001,36.770000,36.049789,13283300
2019-10-24,36.750000,36.840000,36.259998,36.389999,35.677235,18973800
2019-10-25,36.400002,36.880001,36.310001,36.770000,36.049789,16601200
2019-10-28,36.860001,37.480000,36.820000,37.279999,36.549801,24478500
2019-10-29,38.000000,38.759998,37.919998,38.209999,37.461582,30561700
2019-10-30,38.410000,38.820000,38.299999,38.480000,37.726299,20891300
2019-10-31,38.389999,38.580002,38.180000,38.369999,37.618450,23282600
2019-11-01,38.689999,38.939999,38.389999,38.389999,37.638058,18276300
2019-11-04,38.709999,38.740002,38.029999,38.029999,37.285110,16802400
2019-11-05,38.029999,38.099998,37.470001,37.480000,36.745880,20577300
2019-11-06,37.610001,37.730000,37.349998,37.610001,36.873341,17796300
2019-11-07,37.400002,37.580002,36.880001,36.910000,36.536774,21562900
2019-11-08,36.880001,37.160000,36.830002,37.049999,36.675358,25262700
2019-11-11,36.910000,37.009998,36.750000,36.930000,36.556572,11900300
2019-11-12,36.830002,37.090000,36.700001,36.970001,36.596169,12655000
2019-11-13,36.950001,36.950001,36.299999,36.599998,36.229908,24530600
2019-11-14,36.560001,36.759998,36.320000,36.549999,36.180416,23900000
2019-11-15,36.630001,37.470001,36.520000,37.279999,36.903034,34515000
2019-11-18,37.389999,37.439999,36.959999,37.220001,36.843643,17158000
2019-11-19,37.430000,37.680000,37.320000,37.660000,37.279190,25118700
2019-11-20,37.570000,37.689999,37.009998,37.049999,36.675358,18925600
2019-11-21,37.209999,37.939999,37.040001,37.740002,37.358383,19869600
2019-11-22,37.790001,38.410000,37.689999,38.330002,37.942417,24235300
2019-11-25,38.480000,38.880001,38.450001,38.680000,38.288879,29973800
2019-11-26,38.540001,38.590000,38.049999,38.290001,37.902821,32846900
2019-11-27,38.380001,38.709999,38.330002,38.630001,38.239384,18217300
2019-11-29,38.540001,38.880001,38.509998,38.520000,38.130497,9292100
2019-12-02,38.790001,38.799999,38.250000,38.290001,37.902821,14844400
2019-12-03,37.959999,38.200001,37.840000,38.049999,37.665249,19800600
2019-12-04,38.230000,38.259998,37.889999,38.139999,37.754337,13758300
2019-12-05,38.369999,38.369999,37.790001,38.029999,37.645451,12427000
2019-12-06,38.279999,38.520000,38.220001,38.290001,37.902821,12209400
2019-12-09,38.099998,38.380001,38.099998,38.320000,37.932518,14840200
2019-12-10,38.270000,38.580002,38.189999,38.480000,38.090900,18189100
2019-12-11,38.369999,38.570000,38.200001,38.220001,37.833530,14771700
2019-12-12,38.169998,38.619999,38.169998,38.540001,38.150295,12727200
2019-12-13,38.520000,38.680000,38.070000,38.330002,37.942417,15824000
2019-12-16,38.700001,39.400002,38.660000,39.139999,38.744225,22948600
